Time of the day,Number of hosts up
2020-02-04 08:10:00,42
2020-02-04 08:20:00,46
2020-02-04 08:30:00,43
2020-02-04 08:40:00,44
2020-02-04 08:50:00,38
2020-02-04 09:00:00,38
2020-02-04 09:10:00,43
2020-02-04 09:20:00,42
2020-02-04 09:30:00,42
2020-02-04 09:40:00,43
2020-02-04 09:50:00,40
2020-02-04 10:00:00,41
2020-02-04 10:10:00,41
2020-02-04 10:20:00,40
2020-02-04 10:30:00,39
2020-02-04 10:40:00,38
2020-02-04 10:50:00,39
2020-02-04 11:00:00,39
2020-02-04 11:10:00,44
2020-02-04 11:20:00,50
2020-02-04 11:30:00,51
2020-02-04 11:40:00,52
2020-02-04 11:50:00,50
2020-02-04 12:00:00,52
2020-02-04 12:10:00,49
2020-02-04 12:20:00,50
2020-02-04 12:30:00,50
2020-02-04 12:40:00,52
2020-02-04 12:50:00,50
2020-02-04 13:00:00,55
2020-02-04 13:10:00,53
2020-02-04 13:20:00,51
2020-02-04 13:30:00,54
2020-02-04 13:40:00,54
2020-02-04 13:50:00,55
2020-02-04 14:00:00,60
2020-02-04 14:10:00,58
2020-02-04 14:20:00,60
2020-02-04 14:30:00,61
2020-02-04 14:40:00,61
2020-02-04 14:50:00,61
2020-02-04 15:00:00,60
2020-02-04 15:10:00,60
2020-02-04 15:20:00,62
2020-02-04 15:30:00,65
2020-02-04 15:40:00,65
2020-02-04 15:50:00,67
2020-02-04 16:00:00,67
2020-02-04 16:10:00,68
2020-02-04 16:20:00,68
2020-02-04 16:30:00,70
2020-02-04 16:40:00,71
2020-02-04 16:50:00,71
2020-02-04 17:00:00,70
2020-02-04 17:10:00,70
2020-02-04 17:20:00,68
2020-02-04 17:30:00,68
2020-02-04 17:40:00,68
2020-02-04 17:50:00,67
2020-02-04 18:00:00,71
2020-02-04 18:10:00,73
2020-02-04 18:20:00,73
2020-02-04 18:30:00,76
2020-02-04 18:40:00,76
2020-02-04 18:50:00,79
2020-02-04 19:00:00,77
2020-02-04 19:10:00,81
2020-02-04 19:20:00,83
2020-02-04 19:30:00,87
2020-02-04 19:40:00,83
2020-02-04 19:50:00,84
2020-02-04 20:00:00,87
2020-02-04 20:10:00,83
2020-02-04 20:20:00,80
2020-02-04 20:30:00,80
2020-02-04 20:40:00,84
2020-02-04 20:50:00,77
2020-02-04 21:00:00,77
2020-02-04 21:10:00,76
2020-02-04 21:20:00,72
2020-02-04 21:30:00,69
2020-02-04 21:40:00,73
2020-02-04 21:50:00,75
2020-02-04 22:00:00,82
2020-02-04 22:10:00,83
2020-02-04 22:20:00,88
2020-02-04 22:30:00,88
2020-02-04 22:40:00,89
2020-02-04 22:50:00,89
2020-02-04 23:00:00,91
2020-02-04 23:10:00,88
2020-02-04 23:20:00,88
2020-02-04 23:30:00,90
2020-02-04 23:40:00,91
2020-02-04 23:50:00,83
2020-02-05 00:00:00,85
2020-02-05 00:10:00,84
2020-02-05 00:20:00,80
2020-02-05 00:30:00,80
2020-02-05 00:40:00,82
2020-02-05 00:50:00,77
2020-02-05 01:00:00,76
2020-02-05 01:10:00,74
2020-02-05 01:20:00,76
2020-02-05 01:30:00,80
2020-02-05 01:40:00,74
2020-02-05 01:50:00,70
2020-02-05 02:00:00,68
2020-02-05 02:10:00,66
2020-02-05 02:20:00,60
2020-02-05 02:30:00,60
2020-02-05 02:40:00,56
2020-02-05 02:50:00,57
2020-02-05 03:00:00,57
2020-02-05 03:10:00,56
2020-02-05 03:20:00,53
2020-02-05 03:30:00,49
2020-02-05 03:40:00,49
2020-02-05 03:50:00,48
2020-02-05 04:00:00,47
2020-02-05 04:10:00,47
2020-02-05 04:20:00,46
2020-02-05 04:30:00,42
2020-02-05 04:40:00,43
2020-02-05 04:50:00,43
2020-02-05 05:00:00,44
2020-02-05 05:10:00,45
2020-02-05 05:20:00,44
2020-02-05 05:30:00,43
2020-02-05 05:40:00,42
2020-02-05 05:50:00,42
2020-02-05 06:00:00,42
2020-02-05 06:10:00,41
2020-02-05 06:20:00,43
2020-02-05 06:30:00,41
2020-02-05 06:40:00,41
2020-02-05 06:50:00,41
2020-02-05 07:00:00,41
2020-02-05 07:10:00,43
2020-02-05 07:20:00,44
2020-02-05 07:30:00,44
2020-02-05 07:40:00,42
2020-02-05 07:50:00,40
2020-02-05 08:00:00,41
2020-02-05 08:10:00,40
2020-02-05 08:20:00,42
2020-02-05 08:30:00,42
2020-02-05 08:40:00,41
2020-02-05 08:50:00,39
2020-02-05 09:00:00,39
2020-02-05 09:10:00,37
2020-02-05 09:20:00,39
2020-02-05 09:30:00,37
2020-02-05 09:40:00,40
2020-02-05 09:50:00,42
2020-02-05 10:00:00,44
2020-02-05 10:10:00,44
2020-02-05 10:20:00,45
2020-02-05 10:30:00,50
2020-02-05 10:40:00,51
2020-02-05 10:50:00,45
2020-02-05 11:00:00,42
2020-02-05 11:10:00,43
2020-02-05 11:20:00,49
2020-02-05 11:30:00,54
2020-02-05 11:40:00,58
2020-02-05 11:50:00,58
2020-02-05 12:00:00,59
2020-02-05 12:10:00,58
2020-02-05 12:20:00,58
2020-02-05 12:30:00,60
2020-02-05 12:40:00,58
2020-02-05 12:50:00,56
2020-02-05 13:00:00,54
2020-02-05 13:10:00,55
2020-02-05 13:20:00,54
2020-02-05 13:30:00,50
2020-02-05 13:40:00,54
2020-02-05 13:50:00,57
2020-02-05 14:00:00,57
2020-02-05 14:10:00,48
2020-02-05 14:20:00,64
2020-02-05 14:30:00,62
2020-02-05 14:40:00,62
2020-02-05 14:50:00,59
2020-02-05 15:00:00,54
2020-02-05 15:10:00,55
2020-02-05 15:20:00,52
2020-02-05 15:30:00,52
2020-02-05 15:40:00,54
2020-02-05 15:50:00,53
2020-02-05 16:00:00,52
2020-02-05 16:10:00,56
2020-02-05 16:20:00,60
2020-02-05 16:30:00,61
2020-02-05 16:40:00,63
2020-02-05 16:50:00,61
2020-02-05 17:00:00,60
2020-02-05 17:10:00,61
2020-02-05 17:20:00,63
2020-02-05 17:30:00,61
2020-02-05 17:40:00,68
2020-02-05 17:50:00,68
2020-02-05 18:00:00,70
2020-02-05 18:10:00,73
2020-02-05 18:20:00,72
2020-02-05 18:30:00,70
2020-02-05 18:40:00,73
2020-02-05 18:50:00,67
2020-02-05 19:00:00,67
2020-02-05 19:10:00,68
2020-02-05 19:20:00,70
2020-02-05 19:30:00,69
2020-02-05 19:40:00,68
2020-02-05 19:50:00,70
2020-02-05 20:00:00,75
2020-02-05 20:10:00,77
2020-02-05 20:20:00,75
2020-02-05 20:30:00,75
2020-02-05 20:40:00,76
2020-02-05 20:50:00,75
2020-02-05 21:00:00,69
2020-02-05 21:10:00,68
2020-02-05 21:20:00,65
2020-02-05 21:30:00,71
2020-02-05 21:40:00,74
2020-02-05 21:50:00,73
2020-02-05 22:00:00,73
2020-02-05 22:10:00,83
2020-02-05 22:20:00,83
2020-02-05 22:30:00,82
2020-02-05 22:40:00,84
2020-02-05 22:50:00,84
2020-02-05 23:00:00,85
2020-02-05 23:10:00,89
2020-02-05 23:20:00,84
2020-02-05 23:30:00,88
2020-02-05 23:40:00,86
2020-02-05 23:50:00,87
2020-02-06 00:00:00,85
2020-02-06 00:10:00,84
2020-02-06 00:20:00,83
2020-02-06 00:30:00,82
2020-02-06 00:40:00,81
2020-02-06 00:50:00,82
2020-02-06 01:00:00,78
2020-02-06 01:10:00,76
2020-02-06 01:20:00,75
2020-02-06 01:30:00,74
2020-02-06 01:40:00,71
2020-02-06 01:50:00,67
2020-02-06 02:00:00,65
2020-02-06 02:10:00,67
2020-02-06 02:20:00,65
2020-02-06 02:30:00,63
2020-02-06 02:40:00,60
2020-02-06 02:50:00,58
2020-02-06 03:00:00,58
2020-02-06 03:10:00,56
2020-02-06 03:20:00,53
2020-02-06 03:30:00,53
2020-02-06 03:40:00,53
2020-02-06 03:50:00,50
2020-02-06 04:00:00,49
2020-02-06 04:10:00,50
2020-02-06 04:20:00,50
2020-02-06 04:30:00,49
2020-02-06 04:40:00,51
2020-02-06 04:50:00,48
2020-02-06 05:00:00,46
2020-02-06 05:10:00,44
2020-02-06 05:20:00,44
2020-02-06 05:30:00,44
2020-02-06 05:40:00,43
2020-02-06 05:50:00,42
2020-02-06 06:00:00,40
2020-02-06 06:10:00,41
2020-02-06 06:20:00,41
2020-02-06 06:30:00,41
2020-02-06 06:40:00,40
2020-02-06 06:50:00,40
2020-02-06 07:00:00,41
2020-02-06 07:10:00,43
2020-02-06 07:20:00,43
2020-02-06 07:30:00,42
2020-02-06 07:40:00,44
2020-02-06 07:50:00,44
2020-02-06 08:00:00,43
2020-02-06 08:10:00,46
2020-02-06 08:20:00,50
2020-02-06 08:30:00,48
2020-02-06 08:40:00,47
2020-02-06 08:50:00,46
2020-02-06 09:00:00,46
2020-02-06 09:10:00,47
2020-02-06 09:20:00,45
2020-02-06 09:30:00,47
2020-02-06 09:40:00,50
2020-02-06 09:50:00,52
2020-02-06 10:00:00,52
2020-02-06 10:10:00,51
2020-02-06 10:20:00,51
2020-02-06 10:30:00,54
2020-02-06 10:40:00,52
2020-02-06 10:50:00,52
2020-02-06 11:00:00,53
2020-02-06 11:10:00,54
2020-02-06 11:20:00,56
2020-02-06 11:30:00,57
2020-02-06 11:40:00,55
2020-02-06 11:50:00,55
2020-02-06 12:00:00,58
2020-02-06 12:10:00,57
2020-02-06 12:20:00,56
2020-02-06 12:30:00,60
2020-02-06 12:40:00,61
2020-02-06 12:50:00,64
2020-02-06 13:00:00,64
2020-02-06 13:10:00,59
2020-02-06 13:20:00,62
2020-02-06 13:30:00,64
2020-02-06 13:40:00,66
2020-02-06 13:50:00,66
2020-02-06 14:00:00,63
2020-02-06 14:10:00,66
2020-02-06 14:20:00,66
2020-02-06 14:30:00,66
2020-02-06 14:40:00,63
2020-02-06 14:50:00,66
2020-02-06 15:00:00,65
2020-02-06 15:10:00,68
2020-02-06 15:20:00,70
2020-02-06 15:30:00,71
2020-02-06 15:40:00,70
2020-02-06 15:50:00,69
2020-02-06 16:00:00,67
2020-02-06 16:10:00,64
2020-02-06 16:20:00,67
2020-02-06 16:30:00,68
2020-02-06 16:40:00,67
2020-02-06 16:50:00,65
2020-02-06 17:00:00,64
2020-02-06 17:10:00,65
2020-02-06 17:20:00,67
2020-02-06 17:30:00,69
2020-02-06 17:40:00,70
2020-02-06 17:50:00,65
2020-02-06 18:00:00,66
2020-02-06 18:10:00,62
2020-02-06 18:20:00,59
2020-02-06 18:30:00,60
2020-02-06 18:40:00,60
2020-02-06 18:50:00,62
2020-02-06 19:00:00,65
2020-02-06 19:10:00,70
2020-02-06 19:20:00,72
2020-02-06 19:30:00,71
2020-02-06 19:40:00,72
2020-02-06 19:50:00,75
2020-02-06 20:00:00,73
2020-02-06 20:10:00,68
2020-02-06 20:20:00,69
2020-02-06 20:30:00,72
